Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
kaf mma,,,,27-01-2024 13:38:39,27-01-2024 13:39:44,1m - 4.981s,PASSED
,,,,,,,
Test Cases/MMA/login mma,,,,27-01-2024 13:38:40,27-01-2024 13:39:44,1m - 3.960s,PASSED
"startApplication(""C:\Users\0517\Downloads\KAF MMA UAT v10.apk"", true)",,,,27-01-2024 13:38:41,27-01-2024 13:39:22,41.653s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText (2)""), 0)",,,,27-01-2024 13:39:22,27-01-2024 13:39:24,1.936s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText (2)""), ""receptionist@kaf.co.id"", 0)",,,,27-01-2024 13:39:24,27-01-2024 13:39:26,1.609s,PASSED
hideKeyboard(),,,,27-01-2024 13:39:26,27-01-2024 13:39:28,2.149s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText""), 0)",,,,27-01-2024 13:39:28,27-01-2024 13:39:29,1.323s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText""), ""R3cept!#888"", 0)",,,,27-01-2024 13:39:29,27-01-2024 13:39:31,1.334s,PASSED
hideKeyboard(),,,,27-01-2024 13:39:31,27-01-2024 13:39:32,1.609s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.Button""), 0)",,,,27-01-2024 13:39:32,27-01-2024 13:39:33,1.335s,PASSED
delay(10),,,,27-01-2024 13:39:33,27-01-2024 13:39:44,10.128s,PASSED
,,,,,,,
Test Cases/MMA/add prospect customer,,,,27-01-2024 13:39:44,27-01-2024 13:39:44,0.178s,PASSED
return null,,,,27-01-2024 13:39:44,27-01-2024 13:39:44,0.003s,PASSED
